anio,nombre,sexo_registral,frecuencia
2003,Yael,F,72
2003,Yessenia,F,71
2003,Leonel,M,70
2003,Mónica,F,70
2003,Raimundo,M,70
2003,Eric,M,69
2003,Mariela,F,69
2003,Silvana,F,69
2003,Anita,F,68
2003,Deyanira,F,68
2003,Emerson,M,68
2003,Tabita,F,68
2003,Fiorella,F,67
2003,Yamilet,F,67
2003,Elena,F,66
2003,Nayeli,F,66
2003,Paulette,F,66
2003,Susana,F,66
2003,Braulio,M,65
2003,Eva,F,65
2003,Gloria,F,65
2003,Kathalina,F,64
2003,Kristell,F,64
2003,Makarena,F,64
2003,Blanca,F,63
2003,Carol,F,63
2003,Damari,F,63
2003,Jhon,M,63
2003,Lucía,F,63
2003,Paul,M,63
2003,Stephanie,F,63
2003,Estrella,F,62
2003,Helen,F,62
2003,Judith,F,62
2003,Patrick,M,62
2003,Valeska,F,62
2003,Freddy,M,61
2003,Ivania,F,61
2003,Natacha,F,61
2003,Ronald,M,61
2003,Samira,F,61
2003,Alexia,F,60
2003,Aranza,F,60
2003,Ayelen,F,60
2003,Jenifer,F,60
2003,Maikol,M,60
2003,Milovan,M,60
2003,Roxana,F,60
2003,Adrián,M,59
2003,Allan,M,59
2003,Edison,M,59
2003,Ingrid,F,59
2003,Mariano,M,59
2003,Max,M,59
2003,Ailyn,F,58
2003,Crishna,F,58
2003,Jacqueline,F,58
2003,Kamila,F,58
2003,Krisna,F,58
2003,Priscilla,F,58
2003,Wilson,M,58
2003,Yonathan,M,58
2003,Amalia,F,56
2003,Samantha,F,56
2003,Savka,F,56
2003,Vincent,M,56
2003,Bernardita,F,55
2003,Graciela,F,55
2003,Joan,M,55
2003,Michel,M,55
2003,Rocio,F,55
2003,Aldo,M,54
2003,Amelia,F,54
2003,Dominga,F,54
2003,Isadora,F,54
2003,Octavio,M,54
2003,Orlando,M,54
2003,Saray,F,54
2003,Yordan,M,54
2003,Amaya,F,53
2003,Ezequiel,M,53
2003,Jerson,M,53
2003,Luna,F,53
2003,Robinson,M,53
2003,Yazmín,F,53
2003,Carmen,F,52
2003,Kyara,F,52
2003,Luisa,F,52
2003,Erwin,M,51
2003,Katherin,F,51
2003,Mariel,F,51
2003,Marisol,F,51
2003,Rolando,M,51
2003,Arlette,F,50
2003,Bernardo,M,50
2003,Génesis,F,50
2003,Tabata,F,50
2003,Branco,M,49
2003,Domingo,M,49
2003,Erik,M,49
2003,Jocelyn,F,49
2003,Katherinne,F,49
2003,Marta,F,49
2003,Máximo,M,49
2003,Violeta,F,49
2003,Yamna,F,49
2003,Yerko,M,49
2003,Anays,F,48
2003,Ernesto,M,48
2003,Jordan,M,48
2003,Keyla,F,48
2003,Natalie,F,48
2003,Vaitiare,F,48
2003,Yacyara,F,48
2003,Caroline,F,47
2003,Celeste,F,47
2003,Cynthia,F,47
2003,Edgardo,M,47
2003,Ivonne,F,47
2003,Leonor,F,47
2003,Marina,F,47
2003,Ninoska,F,47
2003,Piero,M,47
2003,Silvia,F,47
2003,Yesenia,F,47
2003,Yulissa,F,47
2003,Andres,M,46
2003,Gianfranco,M,46
2003,Leslie,F,46
2003,Olga,F,46
2003,Raquel,F,46
2003,Rebeca,F,46
2003,Aylyne,F,45
2003,Dannae,F,45
2003,Anthony,M,44
2003,Katerin,F,44
2003,Massiel,F,44
2003,Angelina,F,43
2003,Colomba,F,43
2003,Emmanuel,M,43
2003,Gastón,M,43
2003,Jimmy,M,43
2003,Kelly,F,43
2003,Lilian,F,43
2003,Manuela,F,43
2003,Perla,F,43
2003,Walter,M,43
2003,Aracelly,F,42
2003,Darinka,F,42
2003,Emiliano,M,42
2003,Francia,F,42
2003,Félix,M,42
2003,Katerine,F,42
2003,Nathalia,F,42
2003,Polette,F,42
2003,Thais,F,42
2003,Ítalo,M,42
2003,Alessandro,M,41
2003,Anahis,F,41
2003,Cathalina,F,41
2003,Denis,F,41
2003,Jacob,M,41
2003,Johann,M,41
2003,Jonatan,M,41
2003,Luciana,F,41
2003,Maritza,F,41
2003,Nathaly,F,41
2003,Oliver,M,41
2003,Teresa,F,41
2003,Alisson,F,40
2003,Amara,F,40
2003,Astrid,F,40
2003,Christel,F,40
2003,Darwin,M,40
2003,Estefany,F,40
2003,Giovanny,M,40
2003,Guido,M,40
2003,Hector,M,40
2003,Hellen,F,40
2003,Kassandra,F,40
2003,Teresita,F,40
2003,Yennifer,F,40
2003,Cristal,F,39
2003,Edgar,M,39
2003,Lizette,F,39
2003,Maykol,M,39
2003,Mikaela,F,39
2003,Naomí,F,39
2003,Natanael,M,39
2003,Nayely,F,39
2003,Ramón,M,39
2003,Robert,M,39
2003,Sabrina,F,39
2003,Sayen,F,39
2003,Tiara,F,39
2003,Yonatan,M,39
2003,Clara,F,38
2003,Cristhofer,M,38
2003,Giancarlo,M,38
2003,Monserrath,F,38
2003,Polett,F,38
2003,Rachel,F,38
2003,Said,M,38
2003,Stefania,F,38
2003,Tais,F,38
2003,Andy,M,37
2003,Aurora,F,37
2003,Jacinta,F,37
2003,Joaquina,F,37
2003,Julieta,F,37
2003,Miriam,F,37
2003,Tihare,F,37
2003,Agustin,M,36
2003,Cesar,M,36
2003,Damian,M,36
2003,Daphne,F,36
2003,Eliana,F,36
2003,Escarleth,F,36
2003,Grace,F,36
2003,Isaias,M,36
2003,Katia,F,36
2003,Mabel,F,36
2003,Nahuel,M,36
2003,Yeremy,M,36
2003,Baltazar,M,35
2003,Catari,F,35
2003,Giselle,F,35
2003,Iñaki,M,35
2003,Juana,F,35
2003,Mirko,M,35
2003,Sol,F,35
2003,Yaciara,F,35
2003,Adriana,F,34
2003,Ashly,F,34
2003,Cristhian,M,34
2003,Erika,F,34
2003,Ethan,M,34
2003,Isis,F,34
2003,Tonka,F,34
2003,Yanina,F,34
2003,Agatha,F,33
2003,Arantza,F,33
2003,Ariela,F,33
2003,Christofer,M,33
2003,Emely,F,33
2003,Frank,M,33
2003,Jeyson,M,33
2003,Keila,F,33
2003,Lía,F,33
2003,Nathalie,F,33
2003,Reinaldo,M,33
2003,Steven,M,33
2003,Vannia,F,33
2003,Xavier,M,33
2003,Xiomara,F,33
2003,Alyson,F,32
2003,Aylinne,F,32
2003,Dana,F,32
2003,Esmeralda,F,32
2003,Flavia,F,32
2003,Flavio,M,32
2003,Gian,M,32
2003,Henry,M,32
2003,Jaison,M,32
2003,Jesus,M,32
2003,Karol,F,32
2003,Michel,F,32
2003,Milena,F,32
2003,Nayadeth,F,32
2003,Renzo,M,32
2003,Yeremi,M,32
2003,Yerson,M,32
2003,Yohan,M,32
2003,Abel,M,31
2003,Betsabé,F,31
2003,Cinthia,F,31
2003,Darlin,F,31
2003,Dominic,F,31
2003,Estefani,F,31
2003,Maycol,M,31
2003,Natasha,F,31
2003,Salomón,M,31
2003,Sasha,F,31
2003,Selena,F,31
2003,Yoel,M,31
2003,Yoselin,F,31
2003,Abner,M,30
2003,Armando,M,30
2003,Betzabé,F,30
2003,Cristell,F,30
2003,Darlyng,F,30
2003,Harold,M,30
2003,Jair,M,30
2003,Juliette,F,30
2003,Lucero,F,30
2003,Marcia,F,30
2003,Marlen,F,30
2003,Miyaray,F,30
2003,Nancy,F,30
2003,Allyson,F,29
2003,Anyelo,M,29
2003,Ariadna,F,29
2003,Carlo,M,29
2003,Dayan,F,29
2003,Efraín,M,29
2003,Gisselle,F,29
2003,Isber,F,29
2003,Jeferson,M,29
2003,Johana,F,29
2003,Josué,M,29
2003,Piera,F,29
2003,Polet,F,29
2003,Román,M,29
2003,Salomé,F,29
2003,Sonia,F,29
2003,Thyare,F,29
2003,Vivian,F,29
2003,Aileen,F,28
2003,Amaru,M,28
2003,Aracelli,F,28
2003,Arantxa,F,28
2003,Cinthya,F,28
2003,Darien,M,28
2003,Eugenia,F,28
2003,Fredy,M,28
2003,Ivana,F,28
2003,Ivanna,F,28
2003,Jeremi,M,28
2003,Joselyn,F,28
2003,Krischna,F,28
2003,Lesly,F,28
2003,Leticia,F,28
2003,Milton,M,28
2003,Samanta,F,28
2003,Samir,M,28
2003,Stephania,F,28
2003,Ailin,F,27
2003,Aylen,F,27
2003,Dayanna,F,27
2003,Edward,M,27
2003,Estefania,F,27
2003,Johanna,F,27
2003,Julia,F,27
2003,Kathia,F,27
2003,León,M,27
2003,Lidia,F,27
2003,Melisa,F,27
2003,Rafaella,F,27
2003,Sebastían,M,27
2003,Valery,F,27
2003,Alexa,F,26
2003,Augusto,M,26
2003,Britany,F,26
2003,Elias,M,26
2003,Eliseo,M,26
2003,Escarlett,F,26
2003,Fanny,F,26
2003,Giulianna,F,26
2003,Lisbeth,F,26
2003,Maciel,F,26
2003,Maitte,F,26
2003,Marianela,F,26
2003,Maribel,F,26
2003,Nallely,F,26
2003,Anastasia,F,25
2003,Angeles,F,25
